    x1     x2    f(x1, x2)
 -0.52  -0.62   0.00000000

 -0.49  -0.62   0.00000000

 -0.46  -0.62   0.00000000

 -0.43  -0.62   0.00000000

 -0.40  -0.62   0.00000000

 -0.37  -0.62   0.00000000

 -0.33  -0.62   0.00000000

 -0.30  -0.62   0.00000000

 -0.27  -0.62   0.00000000

 -0.24  -0.62   0.00000000

 -0.21  -0.62   0.00000000

 -0.17  -0.62   0.00000000

 -0.14  -0.62   0.00000000

 -0.11  -0.62   0.00000000

 -0.08  -0.62   0.00000000

 -0.05  -0.62   0.00000000

 -0.02  -0.62   0.00000000

  0.02  -0.62   0.00000000

  0.05  -0.62   0.00000000

  0.08  -0.62   0.00000000

  0.11  -0.62   0.00000000

  0.14  -0.62   0.00000000

  0.17  -0.62   0.00000000

  0.21  -0.62   0.00000000

  0.24  -0.62   0.00000000

  0.27  -0.62   0.00000000

  0.30  -0.62   0.00000000

  0.33  -0.62   0.00000000

  0.37  -0.62   0.00000000

  0.40  -0.62   0.00000000

  0.43  -0.62   0.00000000

  0.46  -0.62   0.00000000

  0.49  -0.62   0.00000000

  0.52  -0.62   0.00000000

  0.56  -0.62   0.00000000

  0.59  -0.62   0.00000000

  0.62  -0.62   0.00000000

  0.65  -0.62   0.00000000

  0.68  -0.62   0.00000000

  0.71  -0.62   0.00000000

  0.75  -0.62   0.00000000

  0.78  -0.62   0.00000000

  0.81  -0.62   0.00000000

  0.84  -0.62   0.00000000

